sdc_dealno,date,targetName,acquirorName,URL_found,IdentifiableIntangibleassetsI,Goodwill,totalDealValueFromFiling,TotalIIAifreportedasaggreg,InProcessRD,valuePatents,TrademarksTradenamesBrand,Technology,Workforce,Noncompeteagreements,MaintenanceSupportContracts,CustomerRelationshipscontract,Contractcontractualrights,Cashacquired,Backlog,IntellectualProperty,RoyaltyAgreement,Other,tgt_cik,origACQcik,acq_cik,acq_cik2,acq_cik3,acq_cik4,acq_cik5,RA,Notes,source,url10s_1,TargetCIK,AcquirerCIK,yearDeal,TargetIndustryGroup,AcquirorSICcode,ofOther,ofUnknown,bothGW_IIA_missing,fromRecent,hand_IIA,hand_GW,handChecked_2018
443532,7/15/1996,American Safety Closure Corp,Seda Specialty Packaging Corp,https://www.sec.gov/Archives/edgar/data/912034/0000950148-96-002606.txt,0,.965,7.345,,,,,,,,,,,,,,,,,,0000912034,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,3089,,,0,1,,,0
452897,3/31/1996,North American Resorts Inc,Voyageur First Inc,http://www.sec.gov/Archives/edgar/data/1000686/0000897101-97-000792.txt,0,.370405,.438353,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,1000686,0001000686,1996,Services,5099,,,0,0,,,0
452911,2/22/1996,AEL Industries Inc,Tracor Inc,http://www.sec.gov/Archives/edgar/data/829221/0000829221-96-000007.txt,0,60,103,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000004911,0000829221,1996,Manufacturing,3812,16.65,,0,0,,,0
474878,6/18/1996,Bally Gaming International Inc,Alliance Gaming Corp,https://www.sec.gov/Archives/edgar/data/2491/0000002491-96-000032.txt,0,0,116.771,,,,,,,,,,,,,,,,,,0000002491,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,3944,12.56,,0,1,,,0
478014,7/2/1996,Samuel Goldwyn Co,Metromedia International Group,https://www.sec.gov/Archives/edgar/data/39547/0001005477-96-000490.txt,68.72199999999999,0,43.8,,,,,,,,,,,,,,,,,0000039547,,,,,,Alexey,,Pre2002collect,,,,1996,Services,4812,64.58,,1,1,68.72199999999999,0,1
483499,2/9/1996,Capital Cities/ABC Inc,Walt Disney Co,http://www.sec.gov/Archives/edgar/data/1001039/0001001039-96-000009.txt,2221,16079,18900,18300000000,,,1100,,,5,,,,,,,,1100000000,,,,,,,,,,2014 sample,,0000017109,0001001039,1996,Services,7996,,,0,0,,,0
484470,9/11/1996,Southern Pacific Rail Corp,Union Pacific Corp,https://www.sec.gov/Archives/edgar/data/100885/0000100885-96-000020.txt,0,0,4089,,,,,,,,,,,,,,,,,,0000100885,,,,,Lincel,,Pre2002collect,,,,1996,Services,4011,,,0,1,,,0
486402,5/1/1996,Wedco Technology Inc,ICO Inc,http://www.sec.gov/Archives/edgar/data/353567/0000950129-96-001867.txt,0,26.565,54.919,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000104060,0000353567,1996,Manufacturing,3087,,24.91,0,0,,,0
490436,9/9/1996,TPI Enterprises Inc,Shoney's Inc,https://www.sec.gov/Archives/edgar/data/89902/0000950144-97-000667.txt,0,50.6,168.1,,,,,,,,,,,3700000,,,,,,,,,,,,,,2014 sample,,96919,0000089902,1996,Trade,5812,59.34,,0,0,,,0
491738,2/23/1996,CableMaxx Inc,Heartland Wireless Commun Inc,http://www.sec.gov/Archives/edgar/data/917707/0000950134-96-001094.txt,24.101325,0,77,24101325,,,,.01,,,,,,,,,,24091325,,,,,,,,,,2014 sample,,0000928507,0000917707,1996,Services,4841,,,0,0,,,0
